INFO 2014-03-20 14:28:08,606 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/max_key.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,614 crawler 949 140735266841360 link <a class="reference internal" href="bson/min_key.html"><tt class="docutils literal"><span class="pre">min_key</span></tt> – Representation for the MongoDB internal MinKey type</a>
INFO 2014-03-20 14:28:08,615 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/min_key.html
INFO 2014-03-20 14:28:08,617 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/min_key.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,624 crawler 949 140735266841360 link <a class="reference internal" href="bson/objectid.html"><tt class="docutils literal"><span class="pre">objectid</span></tt> – Tools for working with MongoDB ObjectIds</a>
INFO 2014-03-20 14:28:08,625 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/objectid.html
INFO 2014-03-20 14:28:08,627 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/objectid.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,633 crawler 949 140735266841360 link <a class="reference internal" href="bson/son.html"><tt class="docutils literal"><span class="pre">son</span></tt> – Tools for working with SON, an ordered mapping</a>
INFO 2014-03-20 14:28:08,635 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/son.html
INFO 2014-03-20 14:28:08,638 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/son.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,645 crawler 949 140735266841360 link <a class="reference internal" href="bson/timestamp.html"><tt class="docutils literal"><span class="pre">timestamp</span></tt> – Tools for representing MongoDB internal Timestamps</a>
INFO 2014-03-20 14:28:08,646 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/timestamp.html
INFO 2014-03-20 14:28:08,648 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/timestamp.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,654 crawler 949 140735266841360 link <a class="reference internal" href="bson/tz_util.html"><tt class="docutils literal"><span class="pre">tz_util</span></tt> – Utilities for dealing with timezones in Python</a>
INFO 2014-03-20 14:28:08,655 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/tz_util.html
INFO 2014-03-20 14:28:08,657 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/tz_util.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,666 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/index.html"><tt class="docutils literal"><span class="pre">pymongo</span></tt> – Python driver for MongoDB</a>
INFO 2014-03-20 14:28:08,667 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/index.html
INFO 2014-03-20 14:28:08,670 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
